,glove100_c.txt,glove100_e.txt,glove200_c.txt,glove200_e.txt,glove300_c.txt,glove300_e.txt,glove50_c.txt,glove50_e.txt,w2v_c.txt,w2v_e.txt
344,0,0,0,1,0,1,0,1,1,0
345,1,1,1,1,1,1,1,1,1,1
346,0,0,0,0,1,0,0,0,1,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,1,0
350,0,1,0,1,1,1,0,0,1,1
351,1,1,1,1,1,0,1,1,1,1
352,0,0,1,0,1,0,0,0,1,0
353,1,1,1,0,1,1,1,1,1,1
354,1,1,1,1,1,1,1,1,1,1
355,0,0,0,1,0,1,0,0,1,1
356,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,1,0
359,0,1,0,1,0,1,0,1,0,0
360,0,0,0,0,0,0,0,0,1,1
361,0,0,0,0,0,0,0,0,1,1
362,0,1,0,1,0,1,0,0,0,1
363,0,0,0,0,0,0,0,0,0,0
364,1,1,1,1,1,1,1,1,1,0
365,0,1,0,0,0,0,0,1,0,0
366,0,0,0,0,0,0,0,0,0,0
367,0,0,1,0,1,0,0,0,0,0
368,0,0,1,1,0,0,1,1,0,0
369,0,0,0,0,0,0,0,0,1,1
370,0,0,0,0,0,0,0,0,0,0
371,1,1,1,1,0,1,1,1,0,0
372,1,1,1,1,1,1,1,1,0,1
